"filename", "language", "TypeScript", "JSON with Comments", "TypeScript JSX", "Prisma", "SCSS", "YAML", "SQL", "XML", "Markdown", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Dropdown.module.scss", "SCSS", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Footer.module.scss", "SCSS", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Header.module.scss", "SCSS", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 10, 62
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Landing.module.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\LeftNav.module.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\OneTap.module.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Post.module.scss", "SCSS", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 15, 101
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Profile.module.scss", "SCSS", 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 23, 144
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\ShortVideo.module.scss", "SCSS", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 17, 97
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Sidebar.module.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Timeline.module.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\VideoSidebar.module.scss", "SCSS", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\VideoSlide.module.scss", "SCSS", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
